,auc_avg,auc_one,epoch,f1_avg_0.35,f1_avg_0.36,f1_avg_0.37,f1_avg_0.38,f1_avg_0.39,f1_avg_best,f1_one_0.35,f1_one_0.36,f1_one_0.37,f1_one_0.38,f1_one_0.39,fold,model_id,mu,seed,th_avg_best
915,0.972939819907897,0.9709112875426575,6,0.7064136275294388,0.7067764407853071,0.7072406590856347,0.7062814364253128,0.705493987267154,0.7072406590856347,0.6960196447947005,0.6950819672131148,0.6956925039132703,0.6960887332165792,0.6947170476582242,7,2,0.9,1000,0.37
916,0.9728632741940085,0.9703513030815176,7,0.706902452937821,0.706558602057826,0.7060662190321835,0.7049830785389194,0.7038561015753586,0.706902452937821,0.695247399574737,0.6946966630038749,0.6943409408476944,0.6929521354502314,0.6924893717524799,7,2,0.9,1000,0.35
917,0.9724890229309633,0.9694889169222165,8,0.7052934407364787,0.7046758213106206,0.7031414223986922,0.7031323598681112,0.702792434932116,0.7070626913048407,0.6901383982859459,0.6889589169000934,0.6891693572057528,0.6890805956038761,0.688325598000714,7,2,0.9,1000,0.33
918,0.9718777130959388,0.9680461180536053,9,0.7046548956661316,0.7057735652776974,0.704477959587725,0.7046213319276049,0.7027569514138969,0.7057735652776974,0.6866763425253991,0.6854871704950609,0.6849540852366376,0.6844691811238084,0.6847599164926931,7,2,0.9,1000,0.36
919,0.9710455428682655,0.9669047064139785,10,0.7009624197983502,0.6995846792801107,0.6986190089358245,0.6985444554860583,0.6974250191503152,0.7011933991891738,0.6789900285730947,0.6793360314387941,0.6790961118650068,0.6789295674360647,0.678322095590429,7,2,0.9,1000,0.345
920,0.9630894640694261,0.9613283506269996,1,0.6597423697342462,0.6595145972564194,0.6597106948067346,0.6595923261390887,0.6577449436841468,0.6599870336535628,0.6526527711984841,0.6517028790327408,0.6514327167210736,0.6497282110792157,0.649025413274118,7,3,0.9,1000,0.365
921,0.9687575482705214,0.9670873563125223,2,0.6847925216598268,0.6842014388489208,0.6850572042511179,0.6845220652874641,0.6842603550295858,0.6850962928691227,0.6786540240518039,0.6789611905456668,0.6784872761545712,0.6778531476853504,0.6756708085719432,7,3,0.9,1000,0.365
922,0.9711686976085436,0.9694153757337665,3,0.6967963386727689,0.6964904179173402,0.6967365967365968,0.6970017636684304,0.6950219793275514,0.6972769739090805,0.688695652173913,0.687722992337837,0.6875036857934776,0.6862756772849062,0.6859752433601731,7,3,0.9,1000,0.345
923,0.9724050421527799,0.9703877325737371,4,0.7020642201834862,0.701999768812854,0.7026113313126603,0.7015749882463563,0.7009063444108761,0.7030815441094672,0.692862125087189,0.6931064828395423,0.6933948317663059,0.6917983895019386,0.6901281357155747,7,3,0.9,1000,0.315
924,0.9731399415005869,0.970850293151446,5,0.706308169596691,0.7062572421784473,0.7055110747472387,0.7047877039043637,0.7033893274767021,0.706536541080345,0.6964471704663812,0.6961899760779509,0.6956624095109175,0.6951313526655992,0.6945756832725315,7,3,0.9,1000,0.335
